date,map,match_id,team_a,team_b,prior_maps_a,prior_maps_map_a,acs_overall_5_a,acs_map_5_a,acs_overall_10_a,acs_map_10_a,kast_overall_5_a,kast_map_5_a,kast_overall_10_a,kast_map_10_a,fk_fd_diff_overall_5_a,fk_fd_diff_map_5_a,fk_fd_diff_overall_10_a,fk_fd_diff_map_10_a,gun_rate_overall_5_a,gun_rate_map_5_a,gun_rate_overall_10_a,gun_rate_map_10_a,prior_maps_b,prior_maps_map_b,acs_overall_5_b,acs_map_5_b,acs_overall_10_b,acs_map_10_b,kast_overall_5_b,kast_map_5_b,kast_overall_10_b,kast_map_10_b,fk_fd_diff_overall_5_b,fk_fd_diff_map_5_b,fk_fd_diff_overall_10_b,fk_fd_diff_map_10_b,gun_rate_overall_5_b,gun_rate_map_5_b,gun_rate_overall_10_b,gun_rate_map_10_b,fk_fd_diff_overall_3_a,fk_fd_positive_rate_5_a,fk_fd_positive_rate_10_a,fk_fd_diff_overall_3_b,fk_fd_positive_rate_5_b,fk_fd_positive_rate_10_b,ranking_elo_sum_a,ranking_elo_sum_b,ranking_elo_trend_a,ranking_elo_trend_b,prior_maps_diff,prior_maps_map_diff,acs_overall_5_diff,acs_map_5_diff,acs_overall_10_diff,acs_map_10_diff,kast_overall_5_diff,kast_map_5_diff,kast_overall_10_diff,kast_map_10_diff,fk_fd_diff_overall_5_diff,fk_fd_diff_map_5_diff,fk_fd_diff_overall_10_diff,fk_fd_diff_map_10_diff,gun_rate_overall_5_diff,gun_rate_map_5_diff,gun_rate_overall_10_diff,gun_rate_map_10_diff,fk_fd_diff_overall_3_diff,fk_fd_positive_rate_5_diff,fk_fd_positive_rate_10_diff,ranking_elo_sum_diff,ranking_elo_trend_diff,target
2023-03-25,Lotus,184457_g119517,T1,Global Esports,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,4981.412,5000.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,-18.588,0.0,1
2023-03-25,Haven,184457_g119516,Global Esports,T1,1,0,164.6,,164.6,,66.0,,66.0,,-4.0,,-4.0,,0.2,,0.2,,1,0,222.0,,222.0,,77.0,,77.0,,4.0,,4.0,,0.3,,0.3,,-4.0,0.0,0.0,4.0,1.0,1.0,4960.0,5038.929,0.0,0.0,0,0,-57.4,,-57.4,,-11.0,,-11.0,,-8.0,,-8.0,,-0.1,,-0.1,,-8.0,-1.0,-1.0,-78.929,-0.0,1
2023-03-25,Pearl,184457_g119515,Global Esports,T1,2,0,192.1,,192.1,,77.0,,77.0,,1.5,,1.5,,0.306,,0.306,,2,0,194.6,,194.6,,70.3,,70.3,,-1.5,,-1.5,,0.179,,0.179,,1.5,0.5,0.5,-1.5,0.5,0.5,5000.0,5000.0,-40.0,57.517,0,0,-2.5,,-2.5,,6.7,,6.7,,3.0,,3.0,,0.126,,0.126,,3.0,-0.0,-0.0,-0.0,-97.517,0
2023-03-25,Pearl,184456_g119513,DRX,ZETA DIVISION,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,5025.828,4985.685,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,40.143,-0.0,1
2023-03-25,Ascent,184456_g119512,ZETA DIVISION,DRX,1,0,163.6,,163.6,,70.0,,70.0,,0.0,,0.0,,0.111,,0.111,,1,0,208.8,,208.8,,77.8,,77.8,,0.0,,0.0,,0.444,,0.444,,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.0,0,0,-45.2,,-45.2,,-7.8,,-7.8,,0.0,,0.0,,-0.333,,-0.333,,0.0,0.0,0.0,0.0,0.0,0
2023-03-26,Fracture,184459_g119523,Team Secret,TALON,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,5020.799,4970.824,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,49.976,0.0,1
2023-03-26,Icebox,184459_g119522,Team Secret,TALON,1,0,230.8,,230.8,,82.4,,82.4,,2.0,,2.0,,0.25,,0.25,,1,0,170.4,,170.4,,61.4,,61.4,,-2.0,,-2.0,,0.125,,0.125,,2.0,1.0,1.0,-2.0,0.0,0.0,5060.799,4955.912,0.0,0.0,0,0,60.4,,60.4,,21.0,,21.0,,4.0,,4.0,,0.125,,0.125,,4.0,1.0,1.0,104.887,0.0,0
2023-03-26,Ascent,184459_g119521,TALON,Team Secret,2,0,201.6,,201.6,,70.7,,70.7,,0.5,,0.5,,0.205,,0.205,,2,0,215.7,,215.7,,76.4,,76.4,,-0.5,,-0.5,,0.22,,0.22,,0.5,0.5,0.5,-0.5,0.5,0.5,5000.0,5000.0,-14.911,40.0,0,0,-14.1,,-14.1,,-5.7,,-5.7,,1.0,,1.0,,-0.015,,-0.015,,1.0,-0.0,-0.0,-0.0,-54.911,0
2023-03-26,Lotus,184458_g119519,DetonatioN FocusMe,Paper Rex,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,5000.042,5002.347,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,-2.305,-0.0,0
2023-03-26,Pearl,184458_g119518,DetonatioN FocusMe,Paper Rex,1,0,223.2,,223.2,,75.8,,75.8,,2.0,,2.0,,0.25,,0.25,,1,0,198.8,,198.8,,65.8,,65.8,,-2.0,,-2.0,,0.333,,0.333,,2.0,1.0,1.0,-2.0,0.0,0.0,5000.0,5000.0,0.0,0.0,0,0,24.4,,24.4,,10.0,,10.0,,4.0,,4.0,,-0.083,,-0.083,,4.0,1.0,1.0,-0.0,-0.0,0
2023-03-27,Ascent,173215_g117164,KOI,Natus Vincere,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,5000.0,5000.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,1
2023-03-27,Fracture,184460_g119524,Gen.G,Rex Regum Qeon,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,5000.0,5000.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,-0.0,-0.0,1
2023-03-27,Lotus,184460_g119525,Gen.G,Rex Regum Qeon,1,0,225.4,,225.4,,76.4,,76.4,,-4.0,,-4.0,,0.318,,0.318,,1,0,199.2,,199.2,,67.2,,67.2,,4.0,,4.0,,0.136,,0.136,,-4.0,0.0,0.0,4.0,1.0,1.0,5030.828,4987.859,0.0,0.0,0,0,26.2,,26.2,,9.2,,9.2,,-8.0,,-8.0,,0.182,,0.182,,-8.0,-1.0,-1.0,42.969,-0.0,1
2023-03-27,Icebox,173214_g117161,FNATIC,Giants Gaming,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,5000.0,5000.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,1
2023-03-27,Split,173214_g117162,FNATIC,Giants Gaming,1,0,238.0,,238.0,,86.4,,86.4,,4.0,,4.0,,0.375,,0.375,,1,0,182.0,,182.0,,62.8,,62.8,,-4.0,,-4.0,,0.125,,0.125,,4.0,1.0,1.0,-4.0,0.0,0.0,5032.846,4945.331,0.0,0.0,0,0,56.0,,56.0,,23.6,,23.6,,8.0,,8.0,,0.25,,0.25,,8.0,1.0,1.0,87.515,0.0,1
2023-03-27,Lotus,173215_g117165,KOI,Natus Vincere,1,0,202.4,,202.4,,68.0,,68.0,,2.0,,2.0,,0.45,,0.45,,1,0,181.2,,181.2,,74.0,,74.0,,-2.0,,-2.0,,0.15,,0.15,,2.0,1.0,1.0,-2.0,0.0,0.0,5000.0,4986.452,0.0,0.0,0,0,21.2,,21.2,,-6.0,,-6.0,,4.0,,4.0,,0.3,,0.3,,4.0,1.0,1.0,13.548,0.0,1
2023-03-28,Lotus,173217_g117172,Team Liquid,Team Vitality,0,0,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,4985.536,5009.352,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,-23.816,0.0,0
2023-03-28,Fracture,173217_g117171,Team Vitality,Team Liquid,1,0,198.8,,198.8,,67.2,,67.2,,-11.0,,-11.0,,0.261,,0.261,,1,0,206.6,,206.6,,77.4,,77.4,,11.0,,11.0,,0.348,,0.348,,-11.0,0.0,0.0,11.0,1.0,1.0,5083.138,4914.458,0.0,0.0,0,0,-7.8,,-7.8,,-10.2,,-10.2,,-22.0,,-22.0,,-0.087,,-0.087,,-22.0,-1.0,-1.0,168.68,-0.0,0
