date,map,match_id,team_a,team_b,map_win_rate_10_diff,fk_fd_diff_overall_5_diff,ranking_elo_sum_diff,ranking_elo_trend_diff,target
2023-03-25,Lotus,184457_g119517,T1,Global Esports,,,-9.382,0.0,1
2023-03-25,Haven,184457_g119516,Global Esports,T1,,-8.0,-122.054,-0.0,1
2023-03-25,Pearl,184457_g119515,Global Esports,T1,,3.0,-0.0,-131.436,0
2023-03-25,Pearl,184456_g119513,DRX,ZETA DIVISION,,,60.082,-0.0,1
2023-03-25,Ascent,184456_g119512,ZETA DIVISION,DRX,,0.0,0.0,0.0,0
2023-03-26,Fracture,184459_g119523,Team Secret,TALON,,,61.088,0.0,1
2023-03-26,Icebox,184459_g119522,Team Secret,TALON,,4.0,136.543,0.0,0
2023-03-26,Ascent,184459_g119521,TALON,Team Secret,,1.0,-0.0,-75.455,0
2023-03-26,Lotus,184458_g119519,DetonatioN FocusMe,Paper Rex,,,-17.835,-0.0,0
2023-03-26,Pearl,184458_g119518,DetonatioN FocusMe,Paper Rex,,4.0,-0.0,-0.0,0
2023-03-27,Ascent,173215_g117164,KOI,Natus Vincere,,,0.0,0.0,1
2023-03-27,Fracture,184460_g119524,Gen.G,Rex Regum Qeon,,,-0.0,-0.0,1
2023-03-27,Lotus,184460_g119525,Gen.G,Rex Regum Qeon,,-8.0,68.542,-0.0,1
2023-03-27,Icebox,173214_g117161,FNATIC,Giants Gaming,,,0.0,0.0,1
2023-03-27,Split,173214_g117162,FNATIC,Giants Gaming,,8.0,119.811,0.0,1
2023-03-27,Lotus,173215_g117165,KOI,Natus Vincere,,4.0,22.021,0.0,1
2023-03-28,Lotus,173217_g117172,Team Liquid,Team Vitality,,,-33.175,0.0,0
2023-03-28,Fracture,173217_g117171,Team Vitality,Team Liquid,,-22.0,205.117,-0.0,0
2023-03-28,Lotus,173216_g117168,Team Heretics,FUT Esports,,,-207.994,0.0,0
2023-03-28,Haven,173217_g117170,Team Liquid,Team Vitality,,18.0,0.0,-171.942,0
2023-03-28,Pearl,173216_g117167,FUT Esports,Team Heretics,,16.0,-0.0,-0.0,1
2023-03-29,Pearl,173218_g117175,Natus Vincere,Giants Gaming,,0.0,-109.105,59.811,1
2023-03-29,Icebox,173219_g117176,Karmine Corp,BBL Esports,,,0.0,0.0,1
2023-03-29,Split,173219_g117177,Karmine Corp,BBL Esports,,16.0,68.069,0.0,1
2023-03-29,Icebox,173218_g117173,Natus Vincere,Giants Gaming,,1.333,3.071,-54.553,0
2023-03-29,Split,173218_g117174,Giants Gaming,Natus Vincere,,-0.0,54.018,15.97,0
2023-03-30,Split,173220_g117180,Team Liquid,FUT Esports,,-0.5,-28.233,134.454,1
2023-03-30,Ascent,173220_g117181,FUT Esports,Team Liquid,,-1.833,-91.57,-49.827,0
2023-03-30,Split,173221_g117182,Team Vitality,KOI,,-8.0,-105.798,-16.852,1
2023-03-30,Lotus,173220_g117179,Team Liquid,FUT Esports,-1.0,2.95,-138.709,62.875,0
2023-03-30,Fracture,173221_g117183,Team Vitality,KOI,,-2.25,27.281,-59.577,1
2023-03-31,Haven,173222_g117186,FNATIC,BBL Esports,,11.5,127.982,58.272,1
2023-03-31,Split,173223_g117189,Team Heretics,Karmine Corp,,-14.0,-216.516,25.5,1
2023-03-31,Icebox,173223_g117188,Karmine Corp,Team Heretics,,7.333,280.631,68.11,0
2023-03-31,Split,173222_g117187,BBL Esports,FNATIC,-1.0,-10.333,-308.34,-63.991,0
2023-03-31,Ascent,173222_g117185,BBL Esports,FNATIC,,-3.75,-183.325,-99.473,1
2023-04-01,Lotus,184461_g119529,ZETA DIVISION,Rex Regum Qeon,,-0.5,-15.292,48.617,1
2023-04-01,Ascent,184461_g119528,ZETA DIVISION,Rex Regum Qeon,,1.0,27.724,4.892,1
2023-04-01,Haven,184461_g119527,Rex Regum Qeon,ZETA DIVISION,,-1.75,33.149,-11.956,1
2023-04-01,Split,183774_g118924,Sentinels,100 Thieves,,,28.12,0.0,0
2023-04-01,Ascent,183774_g118925,Sentinels,100 Thieves,,-16.0,-8.639,0.0,1
2023-04-01,Haven,184462_g119531,TALON,T1,,1.0,-355.2,14.188,0
2023-04-01,Ascent,184462_g119530,TALON,T1,,2.25,-154.708,-86.519,0
2023-04-01,Split,183775_g118926,FURIA,KRÜ Esports,,,-0.0,-0.0,1
2023-04-01,Ascent,183775_g118927,KRÜ Esports,FURIA,,4.0,35.689,0.0,0
2023-04-01,Fracture,183774_g118923,100 Thieves,Sentinels,,12.0,-0.0,36.759,0
2023-04-02,Fracture,183777_g118933,Evil Geniuses,Cloud9,,,-54.46,0.0,0
2023-04-02,Haven,183776_g118931,MIBR,LOUD,,,-260.268,-0.0,0
2023-04-02,Pearl,183777_g118932,Cloud9,Evil Geniuses,,8.0,-0.0,-0.0,1
2023-04-02,Split,184463_g119535,Team Secret,Paper Rex,,3.333,180.912,2.258,1
2023-04-02,Fracture,184463_g119534,Paper Rex,Team Secret,,-6.333,-74.184,-56.637,0
2023-04-02,Lotus,183776_g118930,MIBR,LOUD,,8.0,-216.543,-0.0,1
2023-04-02,Lotus,184465_g119536,DetonatioN FocusMe,Gen.G,-1.0,3.5,-39.716,-40.061,0
2023-04-02,Fracture,184465_g119537,DetonatioN FocusMe,Gen.G,,0.333,-8.949,-17.388,1
2023-04-02,Pearl,184465_g119538,DetonatioN FocusMe,Gen.G,,4.75,112.149,-0.675,0
2023-04-02,Haven,184463_g119533,Paper Rex,Team Secret,,-6.65,-97.73,-24.469,1
2023-04-02,Split,183776_g118929,LOUD,MIBR,,-4.0,0.0,-43.724,1
2023-04-03,Haven,184466_g119539,Global Esports,DRX,,1.333,-141.181,36.034,0
2023-04-03,Split,184466_g119540,Global Esports,DRX,,2.75,-84.964,-31.401,0
2023-04-03,Lotus,183778_g118936,LEVIATÁN,NRG,,,18.319,0.0,1
2023-04-03,Pearl,183778_g118935,LEVIATÁN,NRG,,22.0,0.0,0.0,1
2023-04-05,Lotus,183944_g119187,Team Vitality,FUT Esports,0.0,-1.4,1.297,-25.04,0
2023-04-05,Haven,183944_g119188,FUT Esports,Team Vitality,,-2.8,118.749,23.992,1
2023-04-06,Ascent,183945_g119190,Natus Vincere,BBL Esports,-1.0,1.6,73.423,2.461,1
2023-04-06,Fracture,183945_g119191,Natus Vincere,BBL Esports,,0.8,117.99,19.603,1
2023-04-06,Icebox,183946_g119193,Team Heretics,FNATIC,-0.0,-3.1,-173.426,-64.616,0
2023-04-06,Ascent,183946_g119194,FNATIC,Team Heretics,,5.8,384.937,27.411,1
2023-04-07,Split,183947_g119197,Karmine Corp,Team Liquid,-0.5,1.8,-306.161,-1.211,0
2023-04-07,Ascent,183947_g119196,Team Liquid,Karmine Corp,,-1.2,171.389,51.178,1
2023-04-07,Lotus,183948_g119199,Giants Gaming,KOI,,0.3,-92.319,-22.808,1
2023-04-07,Ascent,183948_g119200,Giants Gaming,KOI,,4.8,120.737,-8.403,1
2023-04-08,Pearl,183780_g118941,LEVIATÁN,FURIA,,6.0,43.435,13.681,1
2023-04-08,Fracture,184468_g119546,T1,Paper Rex,,2.2,227.451,35.141,0
2023-04-08,Pearl,184468_g119545,Paper Rex,T1,-0.0,1.8,-296.961,-37.294,1
2023-04-08,Pearl,184467_g119543,DetonatioN FocusMe,Rex Regum Qeon,,2.6,-54.822,40.423,0
2023-04-08,Icebox,183780_g118942,FURIA,LEVIATÁN,,-5.333,-41.813,-18.549,1
2023-04-08,Split,183779_g118938,LOUD,Cloud9,,0.667,94.189,-40.582,0
2023-04-08,Haven,184467_g119542,Rex Regum Qeon,DetonatioN FocusMe,,-0.6,-134.39,8.352,1
2023-04-08,Pearl,183779_g118940,Cloud9,LOUD,,4.0,-126.013,17.017,0
2023-04-08,Ascent,183779_g118939,Cloud9,LOUD,,1.2,35.079,-1.678,0
2023-04-08,Ascent,183780_g118943,FURIA,LEVIATÁN,,-2.0,151.441,-12.984,1
2023-04-09,Pearl,183782_g118949,KRÜ Esports,MIBR,,3.667,-46.055,-56.805,0
2023-04-09,Lotus,183782_g118948,MIBR,KRÜ Esports,,-3.833,-74.506,92.456,1
2023-04-09,Ascent,183782_g118947,MIBR,KRÜ Esports,,-1.2,-98.825,36.714,0
2023-04-09,Icebox,183781_g118945,NRG,Sentinels,,0.333,12.556,7.167,1
2023-04-09,Lotus,183781_g118944,NRG,Sentinels,,3.583,-117.028,-2.875,1
2023-04-09,Pearl,184469_g119548,Global Esports,ZETA DIVISION,-0.0,-0.0,-33.568,7.728,1
2023-04-09,Ascent,184469_g119549,Global Esports,ZETA DIVISION,,0.8,7.811,2.821,0
2023-04-09,Haven,184469_g119550,Global Esports,ZETA DIVISION,0.5,-1.4,-56.693,-13.673,0
2023-04-09,Split,184470_g119551,TALON,DRX,,1.95,-158.679,-26.659,0
2023-04-09,Pearl,184470_g119552,TALON,DRX,,0.4,-369.36,-25.139,0
2023-04-10,Haven,183783_g118950,100 Thieves,Evil Geniuses,,7.333,-43.385,-18.509,1
2023-04-10,Icebox,183783_g118951,100 Thieves,Evil Geniuses,,7.667,92.923,-8.109,1
2023-04-10,Fracture,184471_g119555,Gen.G,Team Secret,-0.5,-1.6,-151.778,-11.586,1
2023-04-10,Haven,184471_g119554,Gen.G,Team Secret,,0.2,-127.053,-42.944,1
2023-04-12,Ascent,183949_g119204,Natus Vincere,Team Heretics,0.5,4.6,464.064,49.561,1
2023-04-12,Pearl,183949_g119202,Team Heretics,Natus Vincere,-1.0,-3.2,-304.762,-93.339,0
2023-04-12,Lotus,183949_g119203,Natus Vincere,Team Heretics,0.0,5.8,500.394,99.058,0
2023-04-13,Ascent,183950_g119206,KOI,FUT Esports,0.5,-2.2,-337.407,-36.004,0
2023-04-13,Lotus,183951_g119208,Team Liquid,FNATIC,,-0.4,93.661,13.846,0
2023-04-13,Haven,183951_g119209,Team Liquid,FNATIC,-1.0,-2.2,-68.407,27.238,0
2023-04-14,Icebox,183952_g119211,BBL Esports,Giants Gaming,-0.5,-1.8,-288.641,-23.13,0
2023-04-14,Split,183952_g119212,Giants Gaming,BBL Esports,0.0,2.6,402.04,58.494,1
2023-04-14,Ascent,183953_g119214,Karmine Corp,Team Vitality,,-2.8,-103.29,-32.338,0
2023-04-14,Split,183953_g119215,Karmine Corp,Team Vitality,-0.667,-6.8,-253.446,-54.643,0
2023-04-15,Icebox,183786_g118956,NRG,MIBR,,3.2,73.124,-5.215,0
2023-04-15,Pearl,183786_g118957,NRG,MIBR,-1.0,0.0,-51.178,15.102,1
2023-04-15,Split,184473_g119561,Rex Regum Qeon,Team Secret,,-2.4,81.734,-24.836,1
2023-04-15,Icebox,184473_g119560,Team Secret,Rex Regum Qeon,,-1.8,61.644,-32.552,0
2023-04-15,Split,184472_g119558,Paper Rex,DRX,-1.0,0.4,-234.663,-41.343,0
2023-04-15,Ascent,184472_g119557,Paper Rex,DRX,,2.2,-205.79,-52.964,0
2023-04-15,Split,183786_g118958,NRG,MIBR,,1.4,-21.178,-28.822,0
2023-04-15,Lotus,183785_g118953,100 Thieves,Cloud9,,2.2,40.417,-26.661,0
2023-04-15,Ascent,183785_g118954,100 Thieves,Cloud9,-0.0,-1.0,-179.237,4.193,0
2023-04-16,Ascent,184475_g119566,DetonatioN FocusMe,ZETA DIVISION,,-4.4,-83.52,-26.444,0
2023-04-16,Pearl,183787_g118961,Sentinels,LEVIATÁN,,-9.0,-140.116,3.624,0
2023-04-16,Haven,184474_g119564,Gen.G,T1,0.5,4.4,103.345,-36.945,1
2023-04-16,Ascent,184474_g119563,T1,Gen.G,,-3.6,-7.926,-45.073,0
2023-04-16,Pearl,183788_g118962,KRÜ Esports,Evil Geniuses,-0.0,0.7,20.031,11.0,0
2023-04-16,Haven,184475_g119567,DetonatioN FocusMe,ZETA DIVISION,-0.5,-4.2,-173.52,-46.397,0
2023-04-16,Fracture,183788_g118964,KRÜ Esports,Evil Geniuses,,3.2,140.169,12.156,0
2023-04-16,Ascent,183788_g118963,KRÜ Esports,Evil Geniuses,,-0.0,160.419,55.999,1
2023-04-16,Ascent,183787_g118960,LEVIATÁN,Sentinels,-1.0,8.8,126.257,9.495,0
2023-04-16,Split,183787_g118959,LEVIATÁN,Sentinels,,8.2,85.614,14.18,1
2023-04-17,Split,184476_g119569,TALON,Global Esports,0.0,-2.2,-247.91,-50.84,0
